"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","CARD-105/M-CARD-105 product id is non-empty (rendered as ""SKU: {id}"")","api","2026-08-14","passed","2026-08-14","Product card API fields","api/products.spec.ts","",""
"","3875","HOME-306/M-HOME-307 /category/kids route returns non-error status","api","2026-08-14","passed","2026-08-14","","api/routes.spec.ts","",""
"","9","PLP-113 price band hit counts: $0–$49.99 (4), $50–$99.99 (25), $100–$199.99 (7)","api","2026-08-14","passed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","4087","M-PLP-110 nine category refinement chips are always visible outside the filters panel","mobile","2026-08-14","passed","2026-08-14","Mobile PLP refinements (M-PLP-110–114)","mobile/plp.spec.ts","",""
"","5","subcategory names match spec list","api","2026-08-14","passed","2026-08-14","GLB-105b/M-GLB-130 Kids subcategories","api/categories.spec.ts","",""
"","2932","PLP-109 refinements are multi-select: selecting two shows products matching either","desktop","2026-08-14","passed","2026-08-14","PLP refinements (PLP-109–113)","desktop/plp.spec.ts","",""
"","4","has exactly 6 subcategories","api","2026-08-14","passed","2026-08-14","GLB-105b/M-GLB-130 Kids subcategories","api/categories.spec.ts","",""
"","3418","M-HOME-405 Women CTA links to Women category","mobile","2026-08-14","passed","2026-08-14","Mobile collection banners (M-HOME-401–406)","mobile/home.spec.ts","",""
"","1513","GLB-104/M-GLB-125 /category/new-arrivals route returns non-error status","api","2026-08-14","passed","2026-08-14","","api/routes.spec.ts","",""
"","1261","GLB-106 search input is present with placeholder ""Search""","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","3054","M-HOME-403 Men banner heading and copy","mobile","2026-08-14","passed","2026-08-14","Mobile collection banners (M-HOME-401–406)","mobile/home.spec.ts","",""
"","7583","M-PLP-117 page shows 12 product cards","mobile","2026-08-14","failed","2026-08-14","Mobile PLP grid and pagination (M-PLP-115–119)","mobile/plp.spec.ts","",""
"","7","CARD-107/M-CARD-107 price is a positive number","api","2026-08-14","passed","2026-08-14","Product card API fields","api/products.spec.ts","",""
"","1407","HOME-201 section heading is ""Featured Products""","desktop","2026-08-14","passed","2026-08-14","Home – Featured Products carousel (HOME-201–206)","desktop/home.spec.ts","",""
"","1878","HOME-203 NOTE carousel contains ≥10 reachable products (spec says 10; product list has 12)","desktop","2026-08-14","passed","2026-08-14","Home – Featured Products carousel (HOME-201–206)","desktop/home.spec.ts","",""
"","1587","HOME-307 Style for Real Life carousel has Previous and Next controls","desktop","2026-08-14","passed","2026-08-14","Home – Style for Real Life tiles (HOME-301–308)","desktop/home.spec.ts","",""
"","2150","STATE-03 no element other than category tile and product card reveals content on hover","desktop","2026-08-14","passed","2026-08-14","Interactive states (STATE-01–04)","desktop/home.spec.ts","",""
"","2912","M-PLP-108 sort control has eight options in specified order","mobile","2026-08-14","passed","2026-08-14","Mobile PLP sort (M-PLP-107–109)","mobile/plp.spec.ts","",""
"","3149","M-HOME-303/304 four tiles in order: Women, Men, Kids, New Arrivals","mobile","2026-08-14","passed","2026-08-14","Mobile category tiles (M-HOME-301–309)","mobile/home.spec.ts","",""
"","2281","M-PLP-116 cards within a row share consistent width","mobile","2026-08-14","passed","2026-08-14","Mobile PLP grid and pagination (M-PLP-115–119)","mobile/plp.spec.ts","",""
"","3933","M-CARD-114 undisplayed controls (Wishlist, Quick Add) must not receive taps (pointer-events disabled)","mobile","2026-08-14","failed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","2723","M-HOME-301 section heading is ""Style for Real Life""","mobile","2026-08-14","passed","2026-08-14","Mobile category tiles (M-HOME-301–309)","mobile/home.spec.ts","",""
"","3512","M-HOME-404 banner CTA is ""EXPLORE COLLECTION"" on both banners","mobile","2026-08-14","passed","2026-08-14","Mobile collection banners (M-HOME-401–406)","mobile/home.spec.ts","",""
"","2270","M-HOME-107 slide CTAs are rendered as buttons (or links styled as buttons)","mobile","2026-08-14","passed","2026-08-14","Mobile hero carousel (M-HOME-101–111)","mobile/home.spec.ts","",""
"","7","subcategory IDs follow ""womens-*"" href pattern","api","2026-08-14","passed","2026-08-14","GLB-105/M-GLB-128 Women subcategories","api/categories.spec.ts","",""
"","2873","CARD-115 product name link is underlined on hover","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","3199","M-GLB-129 Men expands to 9 subcategories matching spec","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","31493","M-PLP-112 Filters panel expands inline in page flow (not a drawer, overlay or modal)","mobile","2026-08-14","broken","2026-08-14","Mobile PLP refinements (M-PLP-110–114)","mobile/plp.spec.ts","",""
"","8648","M-PLP-113 filters panel: Shop by Availability expanded by default; Price collapsed","mobile","2026-08-14","failed","2026-08-14","Mobile PLP refinements (M-PLP-110–114)","mobile/plp.spec.ts","",""
"","3633","M-PLP-103 page heading is ""Women""","mobile","2026-08-14","passed","2026-08-14","Mobile PLP page structure (M-PLP-101–106)","mobile/plp.spec.ts","",""
"","10128","M-PLP-102 category banner shows ""WOMEN"" in uppercase overlaid on banner image","mobile","2026-08-14","failed","2026-08-14","Mobile PLP page structure (M-PLP-101–106)","mobile/plp.spec.ts","",""
"","6316","M-GLB-122 menu control changes to a close control while panel is open","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","5953","M-PLP-110 refinements are multi-select","mobile","2026-08-14","passed","2026-08-14","Mobile PLP refinements (M-PLP-110–114)","mobile/plp.spec.ts","",""
"","1783","CARD-105 SKU is present in format ""SKU: {id}""","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","2","has exactly 9 subcategories","api","2026-08-14","passed","2026-08-14","GLB-105/M-GLB-128 Women subcategories","api/categories.spec.ts","",""
"","2162","M-CARD-115 tapping image or product name navigates to PDP","mobile","2026-08-14","passed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","5","subcategory names match spec list","api","2026-08-14","passed","2026-08-14","GLB-105a/M-GLB-129 Men subcategories","api/categories.spec.ts","",""
"","3","CARD-101/104/M-CARD-101/104 product id forms a valid /product/{id} path","api","2026-08-14","passed","2026-08-14","Product card API fields","api/products.spec.ts","",""
"","3542","HOME-306/M-HOME-307 /category/men route returns non-error status","api","2026-08-14","passed","2026-08-14","","api/routes.spec.ts","",""
"","2543","M-HOME-203 carousel region is labelled ""Featured Products carousel""","mobile","2026-08-14","passed","2026-08-14","Mobile featured products (M-HOME-201–208)","mobile/home.spec.ts","",""
"","5398","M-TCH-101 hero carousel is swipeable horizontally by touch","mobile","2026-08-14","skipped","2026-08-14","Touch gestures – home page carousels (M-TCH-101/102/103)","mobile/home.spec.ts","",""
"","9673","M-HOME-108 carousel auto-advances without user interaction","mobile","2026-08-14","passed","2026-08-14","Mobile hero carousel (M-HOME-101–111)","mobile/home.spec.ts","",""
"","12","CARD-106/M-CARD-106 rating and review count fields exist in catalog","api","2026-08-14","failed","2026-08-14","Product card API fields","api/products.spec.ts","",""
"","8069","M-CARD-113 Add to Wishlist is present in markup but not displayed","mobile","2026-08-14","failed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","397","CARD-109a/M-CARD-109a free delivery promotion exists on products","api","2026-08-14","failed","2026-08-14","Product card API fields","api/products.spec.ts","",""
"","4701","HOME-101–106 four slides have correct headings and CTA labels","desktop","2026-08-14","passed","2026-08-14","Home – Hero carousel (HOME-101–111)","desktop/home.spec.ts","",""
"","4586","M-CARD-107 current price is always shown","mobile","2026-08-14","passed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","1843","HOME-405 Women banner CTA links to Women category","desktop","2026-08-14","passed","2026-08-14","Home – Collection banners (HOME-401–406)","desktop/home.spec.ts","",""
"","1512","HOME-203 first product in carousel is ""Leather Crossbody Bag"" (order per HOME-204)","desktop","2026-08-14","passed","2026-08-14","Home – Featured Products carousel (HOME-201–206)","desktop/home.spec.ts","",""
"","1459","PLP-118 no card overflows the viewport horizontally","desktop","2026-08-14","passed","2026-08-14","PLP pagination and grid (PLP-114–118)","desktop/plp.spec.ts","",""
"","2275","HOME-306/M-HOME-307 /category/women route returns non-error status","api","2026-08-14","passed","2026-08-14","","api/routes.spec.ts","",""
"","2155","M-HOME-109/110 slide indicators: one per slide; active is distinguished; labels follow ""Go to slide N of 4""","mobile","2026-08-14","passed","2026-08-14","Mobile hero carousel (M-HOME-101–111)","mobile/home.spec.ts","",""
"","4307","presents Accept, Decline and Close on first visit","mobile","2026-08-14","passed","2026-08-14","M-ENV-09 Tracking consent modal","mobile/home.spec.ts","",""
"","2","PLP-103/M-PLP-104 Women category returns exactly 36 products","api","2026-08-14","passed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","5400","M-TCH-102 Featured Products carousel is swipeable horizontally by touch","mobile","2026-08-14","passed","2026-08-14","Touch gestures – home page carousels (M-TCH-101/102/103)","mobile/home.spec.ts","",""
"","2410","M-GLB-107 mini cart accessible label includes the item count","mobile","2026-08-14","passed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","4","subcategory IDs follow ""mens-*"" href pattern","api","2026-08-14","passed","2026-08-14","GLB-105a/M-GLB-129 Men subcategories","api/categories.spec.ts","",""
"","2113","HOME-402 Women banner: heading ""Women"" and curated footwear copy","desktop","2026-08-14","passed","2026-08-14","Home – Collection banners (HOME-401–406)","desktop/home.spec.ts","",""
"","4379","M-GLB-125 New Arrivals links directly to /category/new-arrivals","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","1227","CARD-101/104 image and product name both link to PDP (/product/)","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","9173","M-GLB-102 header has two rows: utility row then search row","mobile","2026-08-14","failed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","5","subcategory names match spec list","api","2026-08-14","passed","2026-08-14","GLB-105/M-GLB-128 Women subcategories","api/categories.spec.ts","",""
"","2955","M-HOME-402 Women banner heading and copy","mobile","2026-08-14","passed","2026-08-14","Mobile collection banners (M-HOME-401–406)","mobile/home.spec.ts","",""
"","2720","M-PLP-107 sort control is a native select labelled ""Sort by:""","mobile","2026-08-14","passed","2026-08-14","Mobile PLP sort (M-PLP-107–109)","mobile/plp.spec.ts","",""
"","1291","CARD-102 brand name is present above product name","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","2800","M-PLP-106 result count heading shows ""Women (36)""","mobile","2026-08-14","passed","2026-08-14","Mobile PLP page structure (M-PLP-101–106)","mobile/plp.spec.ts","",""
"","1718","GLB-109 Wishlist links to /MarketStreet/en-US/wishlist","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","7","PLP-112/M-PLP-114 price refinement is present with bands","api","2026-08-14","passed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","2990","GLB-103 Men flyout opens on hover","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","1814","HOME-403 Men banner: heading ""Men"" and timeless craftsmanship copy","desktop","2026-08-14","passed","2026-08-14","Home – Collection banners (HOME-401–406)","desktop/home.spec.ts","",""
"","1922","HOME-303/304 four tiles: Women, Men, Kids, New Arrivals","desktop","2026-08-14","passed","2026-08-14","Home – Style for Real Life tiles (HOME-301–308)","desktop/home.spec.ts","",""
"","7738","PLP-114 Women page shows 12 product cards","desktop","2026-08-14","failed","2026-08-14","PLP pagination and grid (PLP-114–118)","desktop/plp.spec.ts","",""
"","1477","CARD-106 star rating and review count are present","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","5008","M-GLB-127 chevron rotates when section is expanded","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","3361","M-GLB-123 four top-level items in order: Women, Men, Kids, New Arrivals","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","7","PLP-112a colour refinement group is present","api","2026-08-14","failed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","1581","HOME-206 Featured Products carousel has Previous / Next; no dot indicators","desktop","2026-08-14","passed","2026-08-14","Home – Featured Products carousel (HOME-201–206)","desktop/home.spec.ts","",""
"","2439","PLP-110 Filters control exposes the refinement panel","desktop","2026-08-14","passed","2026-08-14","PLP refinements (PLP-109–113)","desktop/plp.spec.ts","",""
"","1869","HOME-102 each active slide contains image, heading, paragraph and CTA link","desktop","2026-08-14","passed","2026-08-14","Home – Hero carousel (HOME-101–111)","desktop/home.spec.ts","",""
"","2","has exactly 9 subcategories","api","2026-08-14","passed","2026-08-14","GLB-105a/M-GLB-129 Men subcategories","api/categories.spec.ts","",""
"","2327","M-TCH-106 adjacent interactive controls are separated by at least 8 px","mobile","2026-08-14","passed","2026-08-14","Touch interactions (M-TCH-104–106)","mobile/plp.spec.ts","",""
"","2540","M-HOME-204/208 previous and next controls allow reaching all products; no indicators","mobile","2026-08-14","passed","2026-08-14","Mobile featured products (M-HOME-201–208)","mobile/home.spec.ts","",""
"","1775","PLP-102 page heading is ""Women""","desktop","2026-08-14","passed","2026-08-14","PLP page structure (PLP-101–105)","desktop/plp.spec.ts","",""
"","3525","M-HOME-309 carousel has Previous and Next controls","mobile","2026-08-14","passed","2026-08-14","Mobile category tiles (M-HOME-301–309)","mobile/home.spec.ts","",""
"","8","PLP-114/M-PLP-117 first page returns 12 product hits","api","2026-08-14","passed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","2327","GLB-102 primary nav has four items – Women, Men, Kids, New Arrivals – in order","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","1777","PLP-106/107 sort control labelled ""Sort by:"" with all eight options","desktop","2026-08-14","passed","2026-08-14","PLP sort control (PLP-106–108)","desktop/plp.spec.ts","",""
"","1694","CARD-116 colour swatches each have a 3 px ring on hover","desktop","2026-08-14","skipped","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","3002","M-GLB-101 header is sticky (remains fixed while scrolling)","mobile","2026-08-14","passed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","252","M-QA-106 basket remains empty after read-only product search (no implicit add)","api","2026-08-14","passed","2026-08-14","Basket integrity – M-QA-106","api/basket.spec.ts","",""
"","1611","GLB-110 mini cart shows item count; empty state exposes 0","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","2288","M-CARD-102/103 brand name and category line are present on PLP cards","mobile","2026-08-14","passed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","7","PLP-108/M-PLP-109 first sort option (default) is ""Most Popular""","api","2026-08-14","failed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","4688","M-HOME-102/103/104/105 four slides: correct headings and CTA labels","mobile","2026-08-14","passed","2026-08-14","Mobile hero carousel (M-HOME-101–111)","mobile/home.spec.ts","",""
"","8065","PLP-112a refinement panel contains ""Colour"" group","desktop","2026-08-14","failed","2026-08-14","PLP refinements (PLP-109–113)","desktop/plp.spec.ts","",""
"","422","GLB-109/M-GLB-106 /wishlist route returns non-error status","api","2026-08-14","passed","2026-08-14","","api/routes.spec.ts","",""
"","4068","HOME-202/M-HOME-202 root category exists (target of ""Shop all"" link)","api","2026-08-14","passed","2026-08-14","","api/categories.spec.ts","",""
"","3016","M-CARD-105 SKU is shown in format ""SKU: {id}""","mobile","2026-08-14","passed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","1873","HOME-406 Men banner CTA links to Men category","desktop","2026-08-14","passed","2026-08-14","Home – Collection banners (HOME-401–406)","desktop/home.spec.ts","",""
"","2925","GLB-103 Kids flyout opens on hover","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","2066","M-CARD-101/104 image and product name link to PDP","mobile","2026-08-14","passed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","8857","HOME-111 carousel auto-advances without user interaction","desktop","2026-08-14","passed","2026-08-14","Home – Hero carousel (HOME-101–111)","desktop/home.spec.ts","",""
"","2","PLP-115/M-PLP-118 total exceeds one page (pagination required)","api","2026-08-14","passed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","2463","M-HOME-201 section heading is ""Featured Products""","mobile","2026-08-14","passed","2026-08-14","Mobile featured products (M-HOME-201–208)","mobile/home.spec.ts","",""
"","4969","M-HOME-106 all slide CTAs href contains /category/root","mobile","2026-08-14","passed","2026-08-14","Mobile hero carousel (M-HOME-101–111)","mobile/home.spec.ts","",""
"","3579","M-PLP-111 Filters button is present","mobile","2026-08-14","passed","2026-08-14","Mobile PLP refinements (M-PLP-110–114)","mobile/plp.spec.ts","",""
"","1840","PLP-101 category banner shows ""WOMEN"" in uppercase","desktop","2026-08-14","passed","2026-08-14","PLP page structure (PLP-101–105)","desktop/plp.spec.ts","",""
"","1779","HOME-404 CTA has accessible name that includes the destination category","desktop","2026-08-14","passed","2026-08-14","Home – Collection banners (HOME-401–406)","desktop/home.spec.ts","",""
"","2840","GLB-105 Women flyout lists 9 subcategories in alphabetical order with correct href pattern","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","1508","HOME-202 ""Shop all"" link targets /category/root","desktop","2026-08-14","passed","2026-08-14","Home – Featured Products carousel (HOME-201–206)","desktop/home.spec.ts","",""
"","7188","PLP-115 pagination has Previous, page numbers and Next; more than one page exists","desktop","2026-08-14","failed","2026-08-14","PLP pagination and grid (PLP-114–118)","desktop/plp.spec.ts","",""
"","2523","M-GLB-109 menu control is labelled ""Open menu""; no horizontal nav bar is shown","mobile","2026-08-14","passed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","1714","GLB-104 New Arrivals is a direct link to /category/new-arrivals (no flyout)","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","4330","M-HOME-308 Shop Now label is collapsed to zero height (no tap area) at mobile width","mobile","2026-08-14","passed","2026-08-14","Mobile category tiles (M-HOME-301–309)","mobile/home.spec.ts","",""
"","2577","HOME-107/M-HOME-106 /category/root route returns non-error status","api","2026-08-14","passed","2026-08-14","","api/routes.spec.ts","",""
"","7","PLP-111 availability refinement is present","api","2026-08-14","failed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","2790","M-HOME-302 body copy matches spec","mobile","2026-08-14","passed","2026-08-14","Mobile category tiles (M-HOME-301–309)","mobile/home.spec.ts","",""
"","1442","CARD-103 category line is shown on PLP cards","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","1947","PLP-109 nine inline category refinements match Women flyout list","desktop","2026-08-14","passed","2026-08-14","PLP refinements (PLP-109–113)","desktop/plp.spec.ts","",""
"","2721","M-PLP-105 breadcrumb is ""Home > Women""; Home links to home page","mobile","2026-08-14","passed","2026-08-14","Mobile PLP page structure (M-PLP-101–106)","mobile/plp.spec.ts","",""
"","8996","M-GLB-108 search is a single input on its own row with placeholder ""Search""","mobile","2026-08-14","failed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","6986","CARD-109a ""Free delivery on orders over $50"" appears on every visible card","desktop","2026-08-14","failed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","8779","M-PLP-118 pagination has Previous, page numbers and Next; more than one page exists","mobile","2026-08-14","failed","2026-08-14","Mobile PLP grid and pagination (M-PLP-115–119)","mobile/plp.spec.ts","",""
"","9","CARD-102/M-CARD-102 brand field is present and non-empty","api","2026-08-14","failed","2026-08-14","Product card API fields","api/products.spec.ts","",""
"","962","Home route returns non-error status","api","2026-08-14","passed","2026-08-14","","api/routes.spec.ts","",""
"","2104","GLB-101 Market Street logo links to home","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","4845","M-GLB-128 Women expands to 9 subcategories matching spec","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","1617","HOME-108/109 dot indicators (×4) and Previous / Next controls are present","desktop","2026-08-14","passed","2026-08-14","Home – Hero carousel (HOME-101–111)","desktop/home.spec.ts","",""
"","3404","M-HOME-401 two full-width banners: Women first, then Men","mobile","2026-08-14","passed","2026-08-14","Mobile collection banners (M-HOME-401–406)","mobile/home.spec.ts","",""
"","2112","HOME-306 tile links target correct category URLs","desktop","2026-08-14","passed","2026-08-14","Home – Style for Real Life tiles (HOME-301–308)","desktop/home.spec.ts","",""
"","2918","M-HOME-306/307 tile composition: image + gradient overlay + heading; whole tile is click target","mobile","2026-08-14","passed","2026-08-14","Mobile category tiles (M-HOME-301–309)","mobile/home.spec.ts","",""
"","5","PLP-106/107/M-PLP-107/108 sort options: eight present, labels match spec","api","2026-08-14","passed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","13","PLP-109/M-PLP-110 category refinement has 9 values matching spec","api","2026-08-14","passed","2026-08-14","Search API – Women category","api/search.spec.ts","",""
"","3360","PLP-112 refinement panel contains ""Price"" with price bands","desktop","2026-08-14","passed","2026-08-14","PLP refinements (PLP-109–113)","desktop/plp.spec.ts","",""
"","6270","M-TCH-103 Category tiles carousel is swipeable horizontally by touch","mobile","2026-08-14","passed","2026-08-14","Touch gestures – home page carousels (M-TCH-101/102/103)","mobile/home.spec.ts","",""
"","1386","HOME-301 section heading is ""Style for Real Life""","desktop","2026-08-14","passed","2026-08-14","Home – Style for Real Life tiles (HOME-301–308)","desktop/home.spec.ts","",""
"","2124","STATE-04 Quick Add appears when card element receives keyboard focus","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","5623","M-GLB-125 Women, Men, Kids carry chevrons; New Arrivals does not","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","4321","M-GLB-126 label navigates to category; chevron expands without navigating","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","3400","M-GLB-103 logo links to /MarketStreet/en-US/","mobile","2026-08-14","passed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","2547","M-PLP-115 no card overflows the 375 px viewport horizontally","mobile","2026-08-14","passed","2026-08-14","Mobile PLP grid and pagination (M-PLP-115–119)","mobile/plp.spec.ts","",""
"","1431","CARD-107 current price is always shown","desktop","2026-08-14","passed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","2586","presents Accept, Decline and Close controls on first visit","desktop","2026-08-14","passed","2026-08-14","ENV-09 Tracking consent modal","desktop/home.spec.ts","",""
"","5","subcategory IDs follow ""kids-*"" href pattern","api","2026-08-14","passed","2026-08-14","GLB-105b/M-GLB-130 Kids subcategories","api/categories.spec.ts","",""
"","4464","Home: document scroll width equals viewport width","mobile","2026-08-14","passed","2026-08-14","M-ENV-05 No horizontal overflow","mobile/home.spec.ts","",""
